kommuneNAVN,kommuneID,fylkeID,hyppighet
Agdenes,1622,16,0
Alstahaug,1820,18,0
Alta,2012,20,0
Alvdal,0438,04,0
Andebu,0719,07,0
Andoey,1871,18,0
Aremark,0118,01,0
Arendal,0906,09,0
Asker,0220,02,375
Askim,0124,01,0
Askvoll,1428,14,0
Askoey,1247,12,0
Audnedal,1027,10,0
Aukra,1547,15,0
Aure,1576,15,0
Aurland,1421,14,0
Aurskog-Hoeland,0221,02,0
Austevoll,1244,12,0
Austrheim,1264,12,0
Averoey,1554,15,0
Balestrand,1418,14,0
Ballangen,1854,18,6
Balsfjord,1933,19,109
Bamble,0814,08,0
Bardu,1922,19,63
Beiarn,1839,18,0
Berg,1929,19,0
Bergen,1201,12,3698
Berlevaag,2024,20,0
Bindal,1811,18,0
Birkenes,0928,09,0
Bjerkreim,1114,11,0
Bjugn,1627,16,0
Bodoe,1804,18,0
Bokn,1145,11,0
Bremanger,1438,14,0
Broennoey,1813,18,0
Bygland,0938,09,0
Bykle,0941,09,0
Baerum,0219,02,133
Boe,0821,08,0
Boe,1867,18,66
Boemlo,1219,12,0
Baatsfjord,2028,20,0
Dovre,0511,05,89
Drammen,0602,06,576
Drangedal,0817,08,0
Dyroey,1926,19,0
Doenna,1827,18,0
Eid,1443,14,25
Eide,1551,15,0
Eidfjord,1232,12,0
Eidsberg,0125,01,0
Eidskog,0420,04,0
Eidsvoll,0237,02,28
Eigersund,1101,11,0
Elverum,0427,04,457
Enebakk,0229,02,0
Engerdal,0434,04,0
Etne,1211,12,0
Etnedal,0541,05,7
Evenes,1853,18,519
Evje og Hornnes,0937,09,0
Farsund,1003,10,0
Fauske,1841,18,0
Fedje,1265,12,0
Fet,0227,02,0
Finnoey,1141,11,0
Fitjar,1222,12,0
Fjaler,1429,14,0
Fjell,1246,12,0
Flakstad,1859,18,0
Flatanger,1749,17,0
Flekkefjord,1004,10,0
Flesberg,0631,06,0
Flora,1401,14,0
Flaa,0615,06,0
Folldal,0439,04,0
Forsand,1129,11,0
Fosnes,1748,17,0
Fredrikstad,0106,01,0
Frogn,0215,02,0
Froland,0919,09,0
Frosta,1717,17,0
Fraena,1548,15,0
Froeya,1620,16,0
Fusa,1241,12,0
Fyresdal,0831,08,0
Foerde,1432,14,69
Gamvik,2023,20,0
Gaular,1430,14,60
Gausdal,0522,05,0
Gildeskaal,1838,18,0
Giske,1532,15,1376
Gjemnes,1557,15,74
Gjerdrum,0234,02,3
Gjerstad,0911,09,0
Gjesdal,1122,11,0
Gjoevik,0502,05,8
Gloppen,1445,14,29
Gol,0617,06,0
Gran,0534,05,68
Grane,1825,18,0
Granvin,1234,12,0
Gratangen,1919,19,26
Grimstad,0904,09,0
Grong,1742,17,0
Grue,0423,04,0
Gulen,1411,14,20
Hadsel,1866,18,393
Halden,0101,01,0
Halsa,1571,15,0
Hamar,0403,04,15
Hamaroey,1849,18,0
Hammerfest,2004,20,0
Haram,1534,15,31
Hareid,1517,15,0
Harstad,1903,19,164
Hasvik,2015,20,0
Hattfjelldal,1826,18,0
Haugesund,1106,11,0
Hemne,1612,16,0
Hemnes,1832,18,0
