kommuneNAVN,kommuneID,fylkeID,aar,hyppighet
Agdenes,1622,16,2018,0
Agdenes,1622,16,2019,0
Agdenes,1622,16,2020,0
Agdenes,1622,16,2021,0
Alstahaug,1820,18,2018,0
Alstahaug,1820,18,2019,0
Alstahaug,1820,18,2020,0
Alstahaug,1820,18,2021,0
Alta,2012,20,2018,0
Alta,2012,20,2019,0
Alta,2012,20,2020,0
Alta,2012,20,2021,0
Alvdal,0438,04,2018,0
Alvdal,0438,04,2019,0
Alvdal,0438,04,2020,0
Alvdal,0438,04,2021,0
Andebu,0719,07,2018,0
Andebu,0719,07,2019,0
Andebu,0719,07,2020,0
Andebu,0719,07,2021,0
Andoey,1871,18,2018,0
Andoey,1871,18,2019,0
Andoey,1871,18,2020,0
Andoey,1871,18,2021,0
Aremark,0118,01,2018,0
Aremark,0118,01,2019,0
Aremark,0118,01,2020,0
Aremark,0118,01,2021,0
Arendal,0906,09,2018,0
Arendal,0906,09,2019,0
Arendal,0906,09,2020,0
Arendal,0906,09,2021,0
Asker,0220,02,2018,45
Asker,0220,02,2019,0
Asker,0220,02,2020,212
Asker,0220,02,2021,118
Askim,0124,01,2018,0
Askim,0124,01,2019,0
Askim,0124,01,2020,0
Askim,0124,01,2021,0
Askvoll,1428,14,2018,0
Askvoll,1428,14,2019,0
Askvoll,1428,14,2020,0
Askvoll,1428,14,2021,0
Askoey,1247,12,2018,0
Askoey,1247,12,2019,0
Askoey,1247,12,2020,0
Askoey,1247,12,2021,0
Audnedal,1027,10,2018,0
Audnedal,1027,10,2019,0
Audnedal,1027,10,2020,0
Audnedal,1027,10,2021,0
Aukra,1547,15,2018,0
Aukra,1547,15,2019,0
Aukra,1547,15,2020,0
Aukra,1547,15,2021,0
Aure,1576,15,2018,0
Aure,1576,15,2019,0
Aure,1576,15,2020,0
Aure,1576,15,2021,0
Aurland,1421,14,2018,0
Aurland,1421,14,2019,0
Aurland,1421,14,2020,0
Aurland,1421,14,2021,0
Aurskog-Hoeland,0221,02,2018,0
Aurskog-Hoeland,0221,02,2019,0
Aurskog-Hoeland,0221,02,2020,0
Aurskog-Hoeland,0221,02,2021,0
Austevoll,1244,12,2018,0
Austevoll,1244,12,2019,0
Austevoll,1244,12,2020,0
Austevoll,1244,12,2021,0
Austrheim,1264,12,2018,0
Austrheim,1264,12,2019,0
Austrheim,1264,12,2020,0
Austrheim,1264,12,2021,0
Averoey,1554,15,2018,0
Averoey,1554,15,2019,0
Averoey,1554,15,2020,0
Averoey,1554,15,2021,0
